LocationType,Location,Category,TimeFrame,DataFormat,Data
State,Georgia,bachelor degree,Age 21,Number,S
State,Georgia,higher degree,Age 21,Number,S
State,Georgia,none of the above,Age 21,Number,51
State,Georgia,Declined,Age 21,Number,S
State,Georgia,blank,Age 21,Number,S
State,Georgia,high school or ged,Age 19,Number,58
State,Georgia,vocational certificate,Age 19,Number,S
State,Georgia,vocational license,Age 19,Number,S
State,Georgia,Associate Degree,Age 19,Number,S
State,Georgia,bachelor degree,Age 19,Number,S
State,Georgia,higher degree,Age 19,Number,S
State,Georgia,none of the above,Age 19,Number,118
State,Georgia,Declined,Age 19,Number,S
State,Georgia,blank,Age 19,Number,S
State,Georgia,blank,Age 21,Percent,S
State,Georgia,Declined,Age 21,Percent,S
State,Georgia,none of the above,Age 21,Percent,0.33
State,Georgia,higher degree,Age 21,Percent,S
State,Georgia,bachelor degree,Age 21,Percent,S
State,Georgia,Associate Degree,Age 21,Percent,S
State,Georgia,vocational license,Age 21,Percent,S
State,Georgia,vocational certificate,Age 21,Percent,S
State,Georgia,high school or ged,Age 21,Percent,0.63
State,Georgia,blank,Age 17,Percent,S
State,Georgia,Declined,Age 17,Percent,S
State,Georgia,none of the above,Age 17,Percent,0.94
State,Georgia,higher degree,Age 17,Percent,S
State,Georgia,bachelor degree,Age 17,Percent,S
State,Georgia,Associate Degree,Age 17,Percent,S
State,Georgia,vocational license,Age 17,Percent,S
State,Georgia,vocational certificate,Age 17,Percent,S
State,Georgia,high school or ged,Age 17,Percent,0.04
State,Georgia,blank,Age 19,Percent,S
State,Georgia,Declined,Age 19,Percent,S
State,Georgia,none of the above,Age 19,Percent,0.66
State,Georgia,higher degree,Age 19,Percent,S
State,Georgia,bachelor degree,Age 19,Percent,S
State,Georgia,Associate Degree,Age 19,Percent,S
State,Georgia,vocational license,Age 19,Percent,S
State,Georgia,vocational certificate,Age 19,Percent,S
State,Georgia,high school or ged,Age 19,Percent,0.32
State,Georgia,high school or ged,Age 17,Number,19
State,Georgia,vocational certificate,Age 17,Number,S
State,Georgia,vocational license,Age 17,Number,S
State,Georgia,Associate Degree,Age 17,Number,S
State,Georgia,bachelor degree,Age 17,Number,S
State,Georgia,higher degree,Age 17,Number,S
State,Georgia,none of the above,Age 17,Number,460
State,Georgia,Declined,Age 17,Number,S
State,Georgia,blank,Age 17,Number,S
State,Hawaii,high school or ged,Age 17,Number,S
State,Hawaii,vocational certificate,Age 17,Number,S
State,Hawaii,vocational license,Age 17,Number,S
State,Hawaii,Associate Degree,Age 17,Number,S
State,Hawaii,bachelor degree,Age 17,Number,S
State,Hawaii,higher degree,Age 17,Number,S
State,Hawaii,none of the above,Age 17,Number,37
State,Hawaii,Declined,Age 17,Number,S
State,Hawaii,blank,Age 17,Number,S
State,Hawaii,blank,Age 17,Percent,S
State,Hawaii,Declined,Age 17,Percent,S
State,Hawaii,none of the above,Age 17,Percent,0.86
State,Hawaii,higher degree,Age 17,Percent,S
State,Hawaii,bachelor degree,Age 17,Percent,S
State,Hawaii,Associate Degree,Age 17,Percent,S
State,Hawaii,vocational license,Age 17,Percent,S
State,Hawaii,vocational certificate,Age 17,Percent,S
State,Hawaii,high school or ged,Age 17,Percent,S
State,Hawaii,blank,Age 19,Percent,S
State,Hawaii,Declined,Age 19,Percent,S
State,Hawaii,none of the above,Age 19,Percent,0.42
State,Hawaii,higher degree,Age 19,Percent,S
State,Hawaii,bachelor degree,Age 19,Percent,S
State,Hawaii,Associate Degree,Age 19,Percent,S
State,Hawaii,vocational license,Age 19,Percent,S
State,Hawaii,vocational certificate,Age 19,Percent,S
State,Hawaii,high school or ged,Age 19,Percent,0.5
State,Hawaii,high school or ged,Age 19,Number,18
State,Hawaii,vocational certificate,Age 19,Number,S
State,Hawaii,vocational license,Age 19,Number,S
State,Hawaii,Associate Degree,Age 19,Number,S
State,Hawaii,bachelor degree,Age 19,Number,S
State,Hawaii,higher degree,Age 19,Number,S
State,Hawaii,none of the above,Age 19,Number,15
State,Hawaii,Declined,Age 19,Number,S
State,Hawaii,blank,Age 19,Number,S
State,Hawaii,high school or ged,Age 21,Number,20
State,Hawaii,vocational certificate,Age 21,Number,S
State,Hawaii,vocational license,Age 21,Number,S
State,Hawaii,Associate Degree,Age 21,Number,S
State,Hawaii,bachelor degree,Age 21,Number,S
State,Hawaii,higher degree,Age 21,Number,S
State,Hawaii,none of the above,Age 21,Number,S
State,Hawaii,Declined,Age 21,Number,S
State,Hawaii,blank,Age 21,Number,S
State,Hawaii,blank,Age 21,Percent,S
State,Hawaii,Declined,Age 21,Percent,S
State,Hawaii,none of the above,Age 21,Percent,S
State,Hawaii,higher degree,Age 21,Percent,S
State,Hawaii,bachelor degree,Age 21,Percent,S
State,Hawaii,Associate Degree,Age 21,Percent,S
State,Hawaii,vocational license,Age 21,Percent,S
State,Hawaii,vocational certificate,Age 21,Percent,S
State,Hawaii,high school or ged,Age 21,Percent,0.67
State,Idaho,high school or ged,Age 21,Number,25
State,Idaho,vocational certificate,Age 21,Number,S
State,Idaho,vocational license,Age 21,Number,S
State,Idaho,Associate Degree,Age 21,Number,S
State,Idaho,bachelor degree,Age 21,Number,S
State,Idaho,higher degree,Age 21,Number,S
State,Idaho,none of the above,Age 21,Number,S
State,Idaho,Declined,Age 21,Number,S
State,Idaho,blank,Age 21,Number,S
State,Idaho,high school or ged,Age 19,Number,18
State,Idaho,vocational certificate,Age 19,Number,S
State,Idaho,vocational license,Age 19,Number,S
State,Idaho,Associate Degree,Age 19,Number,S
State,Idaho,bachelor degree,Age 19,Number,S
State,Idaho,higher degree,Age 19,Number,S
State,Idaho,none of the above,Age 19,Number,14
State,Idaho,Declined,Age 19,Number,S
State,Idaho,blank,Age 19,Number,S
State,Idaho,blank,Age 21,Percent,S
State,Idaho,Declined,Age 21,Percent,S
State,Idaho,none of the above,Age 21,Percent,S
State,Idaho,higher degree,Age 21,Percent,S
State,Idaho,bachelor degree,Age 21,Percent,S
State,Idaho,Associate Degree,Age 21,Percent,S
State,Idaho,vocational license,Age 21,Percent,S
State,Idaho,vocational certificate,Age 21,Percent,S
State,Idaho,high school or ged,Age 21,Percent,0.76
State,Idaho,blank,Age 19,Percent,S
State,Idaho,Declined,Age 19,Percent,S
State,Idaho,none of the above,Age 19,Percent,0.42
State,Idaho,higher degree,Age 19,Percent,S
State,Idaho,bachelor degree,Age 19,Percent,S
State,Idaho,Associate Degree,Age 19,Percent,S
State,Idaho,vocational license,Age 19,Percent,S
State,Idaho,vocational certificate,Age 19,Percent,S
State,Idaho,high school or ged,Age 19,Percent,0.55
State,Idaho,blank,Age 17,Percent,S
State,Idaho,Declined,Age 17,Percent,S
State,Idaho,none of the above,Age 17,Percent,0.89
State,Idaho,higher degree,Age 17,Percent,S
State,Idaho,bachelor degree,Age 17,Percent,S
State,Idaho,Associate Degree,Age 17,Percent,S
State,Idaho,vocational license,Age 17,Percent,S
State,Idaho,vocational certificate,Age 17,Percent,S
State,Idaho,high school or ged,Age 17,Percent,S
State,Idaho,high school or ged,Age 17,Number,S
State,Idaho,vocational certificate,Age 17,Number,S
State,Idaho,vocational license,Age 17,Number,S
State,Idaho,Associate Degree,Age 17,Number,S
State,Idaho,bachelor degree,Age 17,Number,S
State,Idaho,higher degree,Age 17,Number,S
State,Idaho,none of the above,Age 17,Number,51
State,Idaho,Declined,Age 17,Number,S
State,Idaho,blank,Age 17,Number,S
State,Illinois,high school or ged,Age 17,Number,12
State,Illinois,vocational certificate,Age 17,Number,S
State,Illinois,vocational license,Age 17,Number,S
State,Illinois,Associate Degree,Age 17,Number,S
State,Illinois,bachelor degree,Age 17,Number,S
State,Illinois,higher degree,Age 17,Number,S
State,Illinois,none of the above,Age 17,Number,540
State,Illinois,Declined,Age 17,Number,S
State,Illinois,blank,Age 17,Number,S
State,Illinois,blank,Age 17,Percent,S
State,Illinois,Declined,Age 17,Percent,S
State,Illinois,none of the above,Age 17,Percent,0.95
State,Illinois,higher degree,Age 17,Percent,S
State,Illinois,bachelor degree,Age 17,Percent,S
State,Illinois,Associate Degree,Age 17,Percent,S
State,Illinois,vocational license,Age 17,Percent,S
State,Illinois,vocational certificate,Age 17,Percent,S
State,Illinois,high school or ged,Age 17,Percent,0.02
State,Illinois,blank,Age 19,Percent,S
State,Illinois,Declined,Age 19,Percent,S
State,Illinois,none of the above,Age 19,Percent,0.37
State,Illinois,higher degree,Age 19,Percent,S
State,Illinois,bachelor degree,Age 19,Percent,S
State,Illinois,Associate Degree,Age 19,Percent,S
State,Illinois,vocational license,Age 19,Percent,S
State,Illinois,vocational certificate,Age 19,Percent,S
State,Illinois,high school or ged,Age 19,Percent,0.57
State,Illinois,blank,Age 21,Percent,S
State,Illinois,Declined,Age 21,Percent,S
State,Illinois,none of the above,Age 21,Percent,0.18
State,Illinois,higher degree,Age 21,Percent,S
State,Illinois,bachelor degree,Age 21,Percent,S
State,Illinois,Associate Degree,Age 21,Percent,S
State,Illinois,vocational license,Age 21,Percent,S
State,Illinois,vocational certificate,Age 21,Percent,S
State,Illinois,high school or ged,Age 21,Percent,0.75
State,Illinois,high school or ged,Age 19,Number,99
State,Illinois,vocational certificate,Age 19,Number,S
State,Illinois,vocational license,Age 19,Number,S
State,Illinois,Associate Degree,Age 19,Number,S
State,Illinois,bachelor degree,Age 19,Number,S
State,Illinois,higher degree,Age 19,Number,S
State,Illinois,none of the above,Age 19,Number,64
State,Illinois,Declined,Age 19,Number,S
State,Illinois,blank,Age 19,Number,S
State,Illinois,high school or ged,Age 21,Number,76
State,Illinois,vocational certificate,Age 21,Number,S
State,Illinois,vocational license,Age 21,Number,S
State,Illinois,Associate Degree,Age 21,Number,S
State,Illinois,bachelor degree,Age 21,Number,S
State,Illinois,higher degree,Age 21,Number,S
State,Illinois,none of the above,Age 21,Number,18
State,Illinois,Declined,Age 21,Number,S
State,Illinois,blank,Age 21,Number,S
State,Indiana,high school or ged,Age 21,Number,42
State,Indiana,vocational certificate,Age 21,Number,S
State,Indiana,vocational license,Age 21,Number,S
State,Indiana,Associate Degree,Age 21,Number,S
State,Indiana,bachelor degree,Age 21,Number,S
State,Indiana,higher degree,Age 21,Number,S
State,Indiana,none of the above,Age 21,Number,S
State,Indiana,Declined,Age 21,Number,S
State,Indiana,blank,Age 21,Number,S
State,Indiana,high school or ged,Age 19,Number,56
State,Indiana,vocational certificate,Age 19,Number,S
State,Indiana,vocational license,Age 19,Number,S
State,Indiana,Associate Degree,Age 19,Number,S
State,Indiana,bachelor degree,Age 19,Number,S
State,Indiana,higher degree,Age 19,Number,S
State,Indiana,none of the above,Age 19,Number,61
State,Indiana,Declined,Age 19,Number,S
State,Indiana,blank,Age 19,Number,S
State,Indiana,blank,Age 21,Percent,S
State,Indiana,Declined,Age 21,Percent,S
State,Indiana,none of the above,Age 21,Percent,S
State,Indiana,higher degree,Age 21,Percent,S
State,Indiana,bachelor degree,Age 21,Percent,S
State,Indiana,Associate Degree,Age 21,Percent,S
State,Indiana,vocational license,Age 21,Percent,S
State,Indiana,vocational certificate,Age 21,Percent,S
State,Indiana,high school or ged,Age 21,Percent,0.71
State,Indiana,blank,Age 19,Percent,S
State,Indiana,Declined,Age 19,Percent,S
State,Indiana,none of the above,Age 19,Percent,0.5
State,Indiana,higher degree,Age 19,Percent,S
State,Indiana,bachelor degree,Age 19,Percent,S
State,Indiana,Associate Degree,Age 19,Percent,S
State,Indiana,vocational license,Age 19,Percent,S
State,Indiana,vocational certificate,Age 19,Percent,S
State,Indiana,high school or ged,Age 19,Percent,0.46
State,Indiana,blank,Age 17,Percent,S
State,Indiana,Declined,Age 17,Percent,0.02
State,Indiana,none of the above,Age 17,Percent,0.92
State,Indiana,higher degree,Age 17,Percent,S
State,Indiana,bachelor degree,Age 17,Percent,S
State,Indiana,Associate Degree,Age 17,Percent,S
State,Indiana,vocational license,Age 17,Percent,S
State,Indiana,vocational certificate,Age 17,Percent,S
State,Indiana,high school or ged,Age 17,Percent,0.06
State,Indiana,high school or ged,Age 17,Number,26
State,Indiana,vocational certificate,Age 17,Number,S
State,Indiana,vocational license,Age 17,Number,S
State,Indiana,Associate Degree,Age 17,Number,S
State,Indiana,bachelor degree,Age 17,Number,S
State,Indiana,higher degree,Age 17,Number,S
State,Indiana,none of the above,Age 17,Number,413
State,Indiana,Declined,Age 17,Number,11
State,Indiana,blank,Age 17,Number,S
State,Iowa,high school or ged,Age 17,Number,14
State,Iowa,vocational certificate,Age 17,Number,S
State,Iowa,vocational license,Age 17,Number,S
State,Iowa,Associate Degree,Age 17,Number,S
State,Iowa,bachelor degree,Age 17,Number,S
State,Iowa,higher degree,Age 17,Number,S
State,Iowa,none of the above,Age 17,Number,378
State,Iowa,Declined,Age 17,Number,S
State,Iowa,blank,Age 17,Number,S
State,Iowa,blank,Age 17,Percent,S
State,Iowa,Declined,Age 17,Percent,S
State,Iowa,none of the above,Age 17,Percent,0.96
State,Iowa,higher degree,Age 17,Percent,S
State,Iowa,bachelor degree,Age 17,Percent,S
State,Iowa,Associate Degree,Age 17,Percent,S
State,Iowa,vocational license,Age 17,Percent,S
State,Iowa,vocational certificate,Age 17,Percent,S
State,Iowa,high school or ged,Age 17,Percent,0.04
State,Iowa,blank,Age 19,Percent,S
State,Iowa,Declined,Age 19,Percent,S
State,Iowa,none of the above,Age 19,Percent,0.21
State,Iowa,higher degree,Age 19,Percent,S
State,Iowa,bachelor degree,Age 19,Percent,S
State,Iowa,Associate Degree,Age 19,Percent,S
State,Iowa,vocational license,Age 19,Percent,S
State,Iowa,vocational certificate,Age 19,Percent,S
State,Iowa,high school or ged,Age 19,Percent,0.76
State,Iowa,blank,Age 21,Percent,S
State,Iowa,Declined,Age 21,Percent,S
State,Iowa,none of the above,Age 21,Percent,0.16
State,Iowa,higher degree,Age 21,Percent,S
State,Iowa,bachelor degree,Age 21,Percent,S
State,Iowa,Associate Degree,Age 21,Percent,S
State,Iowa,vocational license,Age 21,Percent,S
State,Iowa,vocational certificate,Age 21,Percent,S
State,Iowa,high school or ged,Age 21,Percent,0.75
State,Iowa,high school or ged,Age 19,Number,100
State,Iowa,vocational certificate,Age 19,Number,S
State,Iowa,vocational license,Age 19,Number,S
State,Iowa,Associate Degree,Age 19,Number,S
State,Iowa,bachelor degree,Age 19,Number,S
State,Iowa,higher degree,Age 19,Number,S
State,Iowa,none of the above,Age 19,Number,28
State,Iowa,Declined,Age 19,Number,S
State,Iowa,blank,Age 19,Number,S
State,Iowa,high school or ged,Age 21,Number,96
State,Iowa,vocational certificate,Age 21,Number,S
State,Iowa,vocational license,Age 21,Number,S
State,Iowa,Associate Degree,Age 21,Number,S
State,Iowa,bachelor degree,Age 21,Number,S
State,Iowa,higher degree,Age 21,Number,S
State,Iowa,none of the above,Age 21,Number,21
State,Iowa,Declined,Age 21,Number,S
State,Iowa,blank,Age 21,Number,S
State,Kansas,high school or ged,Age 21,Number,142
State,Kansas,vocational certificate,Age 21,Number,15
State,Kansas,vocational license,Age 21,Number,S
State,Kansas,Associate Degree,Age 21,Number,S
State,Kansas,bachelor degree,Age 21,Number,S
State,Kansas,higher degree,Age 21,Number,S
State,Kansas,none of the above,Age 21,Number,44
State,Kansas,Declined,Age 21,Number,S
State,Kansas,blank,Age 21,Number,S
State,Kansas,high school or ged,Age 19,Number,143
State,Kansas,vocational certificate,Age 19,Number,S
State,Kansas,vocational license,Age 19,Number,S
State,Kansas,Associate Degree,Age 19,Number,S
State,Kansas,bachelor degree,Age 19,Number,S
State,Kansas,higher degree,Age 19,Number,S
State,Kansas,none of the above,Age 19,Number,87
State,Kansas,Declined,Age 19,Number,S
State,Kansas,blank,Age 19,Number,S
State,Kansas,blank,Age 21,Percent,S
State,Kansas,Declined,Age 21,Percent,S
State,Kansas,none of the above,Age 21,Percent,0.21
State,Kansas,higher degree,Age 21,Percent,S
State,Kansas,bachelor degree,Age 21,Percent,S
State,Kansas,Associate Degree,Age 21,Percent,S
State,Kansas,vocational license,Age 21,Percent,S
State,Kansas,vocational certificate,Age 21,Percent,0.07
State,Kansas,high school or ged,Age 21,Percent,0.67
State,Kansas,blank,Age 19,Percent,S
State,Kansas,Declined,Age 19,Percent,S
State,Kansas,none of the above,Age 19,Percent,0.37
State,Kansas,higher degree,Age 19,Percent,S
State,Kansas,bachelor degree,Age 19,Percent,S
State,Kansas,Associate Degree,Age 19,Percent,S
State,Kansas,vocational license,Age 19,Percent,S
State,Kansas,vocational certificate,Age 19,Percent,S
State,Kansas,high school or ged,Age 19,Percent,0.6
State,Kansas,blank,Age 17,Percent,S
State,Kansas,Declined,Age 17,Percent,S
State,Kansas,none of the above,Age 17,Percent,0.96
State,Kansas,higher degree,Age 17,Percent,S
State,Kansas,bachelor degree,Age 17,Percent,S
State,Kansas,Associate Degree,Age 17,Percent,S
State,Kansas,vocational license,Age 17,Percent,S
State,Kansas,vocational certificate,Age 17,Percent,S
State,Kansas,high school or ged,Age 17,Percent,0.03
State,Kansas,high school or ged,Age 17,Number,13
State,Kansas,vocational certificate,Age 17,Number,S
State,Kansas,vocational license,Age 17,Number,S
State,Kansas,Associate Degree,Age 17,Number,S
State,Kansas,bachelor degree,Age 17,Number,S
State,Kansas,higher degree,Age 17,Number,S
State,Kansas,none of the above,Age 17,Number,371
State,Kansas,Declined,Age 17,Number,S
State,Kansas,blank,Age 17,Number,S
State,Kentucky,high school or ged,Age 17,Number,42
State,Kentucky,vocational certificate,Age 17,Number,S
State,Kentucky,vocational license,Age 17,Number,S
State,Kentucky,Associate Degree,Age 17,Number,S
State,Kentucky,bachelor degree,Age 17,Number,S
State,Kentucky,higher degree,Age 17,Number,S
State,Kentucky,none of the above,Age 17,Number,427
State,Kentucky,Declined,Age 17,Number,33
State,Kentucky,blank,Age 17,Number,S
State,Kentucky,blank,Age 17,Percent,S
State,Kentucky,Declined,Age 17,Percent,0.06
State,Kentucky,none of the above,Age 17,Percent,0.84
State,Kentucky,higher degree,Age 17,Percent,S
State,Kentucky,bachelor degree,Age 17,Percent,S
State,Kentucky,Associate Degree,Age 17,Percent,S
State,Kentucky,vocational license,Age 17,Percent,S
State,Kentucky,vocational certificate,Age 17,Percent,S
State,Kentucky,high school or ged,Age 17,Percent,0.08
State,Kentucky,blank,Age 19,Percent,S
State,Kentucky,Declined,Age 19,Percent,0.08
State,Kentucky,none of the above,Age 19,Percent,0.27
State,Kentucky,higher degree,Age 19,Percent,S
State,Kentucky,bachelor degree,Age 19,Percent,S
State,Kentucky,Associate Degree,Age 19,Percent,S
State,Kentucky,vocational license,Age 19,Percent,S
State,Kentucky,vocational certificate,Age 19,Percent,S
State,Kentucky,high school or ged,Age 19,Percent,0.63
State,Kentucky,blank,Age 21,Percent,S
State,Kentucky,Declined,Age 21,Percent,S
State,Kentucky,none of the above,Age 21,Percent,0.14
State,Kentucky,higher degree,Age 21,Percent,S
State,Kentucky,bachelor degree,Age 21,Percent,S
State,Kentucky,Associate Degree,Age 21,Percent,S
State,Kentucky,vocational license,Age 21,Percent,S
State,Kentucky,vocational certificate,Age 21,Percent,S
State,Kentucky,high school or ged,Age 21,Percent,0.81
State,Kentucky,high school or ged,Age 19,Number,95
State,Kentucky,vocational certificate,Age 19,Number,S
State,Kentucky,vocational license,Age 19,Number,S
State,Kentucky,Associate Degree,Age 19,Number,S
State,Kentucky,bachelor degree,Age 19,Number,S
State,Kentucky,higher degree,Age 19,Number,S
State,Kentucky,none of the above,Age 19,Number,41
State,Kentucky,Declined,Age 19,Number,12
State,Kentucky,blank,Age 19,Number,S
State,Kentucky,high school or ged,Age 21,Number,101
State,Kentucky,vocational certificate,Age 21,Number,S
State,Kentucky,vocational license,Age 21,Number,S
State,Kentucky,Associate Degree,Age 21,Number,S
State,Kentucky,bachelor degree,Age 21,Number,S
State,Kentucky,higher degree,Age 21,Number,S
State,Kentucky,none of the above,Age 21,Number,17
State,Kentucky,Declined,Age 21,Number,S
State,Kentucky,blank,Age 21,Number,S
State,Louisiana,high school or ged,Age 21,Number,65
State,Louisiana,vocational certificate,Age 21,Number,S
State,Louisiana,vocational license,Age 21,Number,S
State,Louisiana,Associate Degree,Age 21,Number,S
State,Louisiana,bachelor degree,Age 21,Number,S
State,Louisiana,higher degree,Age 21,Number,S
State,Louisiana,none of the above,Age 21,Number,64
State,Louisiana,Declined,Age 21,Number,S
State,Louisiana,blank,Age 21,Number,S
State,Louisiana,high school or ged,Age 19,Number,40
State,Louisiana,vocational certificate,Age 19,Number,S
State,Louisiana,vocational license,Age 19,Number,S
State,Louisiana,Associate Degree,Age 19,Number,S
State,Louisiana,bachelor degree,Age 19,Number,S
State,Louisiana,higher degree,Age 19,Number,S
State,Louisiana,none of the above,Age 19,Number,70
State,Louisiana,Declined,Age 19,Number,S
State,Louisiana,blank,Age 19,Number,S
State,Louisiana,blank,Age 21,Percent,S
State,Louisiana,Declined,Age 21,Percent,S
State,Louisiana,none of the above,Age 21,Percent,0.46
State,Louisiana,higher degree,Age 21,Percent,S
State,Louisiana,bachelor degree,Age 21,Percent,S
State,Louisiana,Associate Degree,Age 21,Percent,S
State,Louisiana,vocational license,Age 21,Percent,S
State,Louisiana,vocational certificate,Age 21,Percent,S
State,Louisiana,high school or ged,Age 21,Percent,0.47
State,Louisiana,blank,Age 19,Percent,S
State,Louisiana,Declined,Age 19,Percent,S
State,Louisiana,none of the above,Age 19,Percent,0.61
State,Louisiana,higher degree,Age 19,Percent,S
State,Louisiana,bachelor degree,Age 19,Percent,S
State,Louisiana,Associate Degree,Age 19,Percent,S
State,Louisiana,vocational license,Age 19,Percent,S
State,Louisiana,vocational certificate,Age 19,Percent,S
State,Louisiana,high school or ged,Age 19,Percent,0.35
State,Louisiana,blank,Age 17,Percent,S
State,Louisiana,Declined,Age 17,Percent,S
State,Louisiana,none of the above,Age 17,Percent,0.91
State,Louisiana,higher degree,Age 17,Percent,S
State,Louisiana,bachelor degree,Age 17,Percent,S
State,Louisiana,Associate Degree,Age 17,Percent,S
State,Louisiana,vocational license,Age 17,Percent,S
State,Louisiana,vocational certificate,Age 17,Percent,S
State,Louisiana,high school or ged,Age 17,Percent,0.07
State,Louisiana,high school or ged,Age 17,Number,20
State,Louisiana,vocational certificate,Age 17,Number,S
State,Louisiana,vocational license,Age 17,Number,S
State,Louisiana,Associate Degree,Age 17,Number,S
State,Louisiana,bachelor degree,Age 17,Number,S
State,Louisiana,higher degree,Age 17,Number,S
State,Louisiana,none of the above,Age 17,Number,258
State,Louisiana,Declined,Age 17,Number,S
State,Louisiana,blank,Age 17,Number,S
State,Maine,high school or ged,Age 17,Number,S
State,Maine,vocational certificate,Age 17,Number,S
State,Maine,vocational license,Age 17,Number,S
State,Maine,Associate Degree,Age 17,Number,S
State,Maine,bachelor degree,Age 17,Number,S
State,Maine,higher degree,Age 17,Number,S
State,Maine,none of the above,Age 17,Number,57
State,Maine,Declined,Age 17,Number,S
State,Maine,blank,Age 17,Number,S
State,Maine,blank,Age 17,Percent,S
State,Maine,Declined,Age 17,Percent,S
State,Maine,none of the above,Age 17,Percent,0.95
State,Maine,higher degree,Age 17,Percent,S
State,Maine,bachelor degree,Age 17,Percent,S
State,Maine,Associate Degree,Age 17,Percent,S
State,Maine,vocational license,Age 17,Percent,S
State,Maine,vocational certificate,Age 17,Percent,S
State,Maine,high school or ged,Age 17,Percent,S
State,Maine,blank,Age 19,Percent,S
State,Maine,Declined,Age 19,Percent,S
State,Maine,none of the above,Age 19,Percent,S
State,Maine,higher degree,Age 19,Percent,S
State,Maine,bachelor degree,Age 19,Percent,S
State,Maine,Associate Degree,Age 19,Percent,S
State,Maine,vocational license,Age 19,Percent,S
State,Maine,vocational certificate,Age 19,Percent,S
State,Maine,high school or ged,Age 19,Percent,0.58
State,Maine,blank,Age 21,Percent,S
State,Maine,Declined,Age 21,Percent,S
State,Maine,none of the above,Age 21,Percent,S
State,Maine,higher degree,Age 21,Percent,S
State,Maine,bachelor degree,Age 21,Percent,S
State,Maine,Associate Degree,Age 21,Percent,S
State,Maine,vocational license,Age 21,Percent,S
State,Maine,vocational certificate,Age 21,Percent,S
State,Maine,high school or ged,Age 21,Percent,S
State,Maine,high school or ged,Age 19,Number,15
State,Maine,vocational certificate,Age 19,Number,S
State,Maine,vocational license,Age 19,Number,S
State,Maine,Associate Degree,Age 19,Number,S
State,Maine,bachelor degree,Age 19,Number,S
State,Maine,higher degree,Age 19,Number,S
State,Maine,none of the above,Age 19,Number,S
State,Maine,Declined,Age 19,Number,S
State,Maine,blank,Age 19,Number,S
State,Maine,high school or ged,Age 21,Number,S
State,Maine,vocational certificate,Age 21,Number,S
State,Maine,vocational license,Age 21,Number,S
State,Maine,Associate Degree,Age 21,Number,S
State,Maine,bachelor degree,Age 21,Number,S
State,Maine,higher degree,Age 21,Number,S
State,Maine,none of the above,Age 21,Number,S
State,Maine,Declined,Age 21,Number,S
State,Maine,blank,Age 21,Number,S
State,Maryland,high school or ged,Age 21,Number,104
State,Maryland,vocational certificate,Age 21,Number,S
State,Maryland,vocational license,Age 21,Number,S
State,Maryland,Associate Degree,Age 21,Number,S
State,Maryland,bachelor degree,Age 21,Number,S
State,Maryland,higher degree,Age 21,Number,S
State,Maryland,none of the above,Age 21,Number,24
State,Maryland,Declined,Age 21,Number,S
State,Maryland,blank,Age 21,Number,S
State,Maryland,high school or ged,Age 19,Number,95
State,Maryland,vocational certificate,Age 19,Number,S
State,Maryland,vocational license,Age 19,Number,S
State,Maryland,Associate Degree,Age 19,Number,S
State,Maryland,bachelor degree,Age 19,Number,S
State,Maryland,higher degree,Age 19,Number,S
State,Maryland,none of the above,Age 19,Number,53
State,Maryland,Declined,Age 19,Number,S
State,Maryland,blank,Age 19,Number,S
State,Maryland,blank,Age 21,Percent,S
State,Maryland,Declined,Age 21,Percent,S
State,Maryland,none of the above,Age 21,Percent,0.16
State,Maryland,higher degree,Age 21,Percent,S
State,Maryland,bachelor degree,Age 21,Percent,S
State,Maryland,Associate Degree,Age 21,Percent,S
State,Maryland,vocational license,Age 21,Percent,S
State,Maryland,vocational certificate,Age 21,Percent,S
State,Maryland,high school or ged,Age 21,Percent,0.69
State,Maryland,blank,Age 19,Percent,S
State,Maryland,Declined,Age 19,Percent,S
State,Maryland,none of the above,Age 19,Percent,0.34
State,Maryland,higher degree,Age 19,Percent,S
State,Maryland,bachelor degree,Age 19,Percent,S
State,Maryland,Associate Degree,Age 19,Percent,S
State,Maryland,vocational license,Age 19,Percent,S
State,Maryland,vocational certificate,Age 19,Percent,S
State,Maryland,high school or ged,Age 19,Percent,0.61
State,Maryland,high school or ged,Age 17,Number,11
State,Maryland,vocational certificate,Age 17,Number,S
State,Maryland,vocational license,Age 17,Number,S
State,Maryland,Associate Degree,Age 17,Number,S
State,Maryland,bachelor degree,Age 17,Number,S
State,Maryland,higher degree,Age 17,Number,S
State,Maryland,none of the above,Age 17,Number,374
State,Maryland,Declined,Age 17,Number,S
State,Maryland,blank,Age 17,Number,S
State,Maryland,blank,Age 17,Percent,S
State,Maryland,Declined,Age 17,Percent,S
State,Maryland,none of the above,Age 17,Percent,0.95
State,Maryland,higher degree,Age 17,Percent,S
State,Maryland,bachelor degree,Age 17,Percent,S
State,Maryland,Associate Degree,Age 17,Percent,S
State,Maryland,vocational license,Age 17,Percent,S
State,Maryland,vocational certificate,Age 17,Percent,S
State,Maryland,high school or ged,Age 17,Percent,0.03
State,Massachusetts,blank,Age 17,Percent,S
State,Massachusetts,Declined,Age 17,Percent,S
State,Massachusetts,none of the above,Age 17,Percent,0.95
State,Massachusetts,higher degree,Age 17,Percent,S
State,Massachusetts,bachelor degree,Age 17,Percent,S
State,Massachusetts,Associate Degree,Age 17,Percent,S
State,Massachusetts,vocational license,Age 17,Percent,S
State,Massachusetts,vocational certificate,Age 17,Percent,S
