LocationType,Location,TimeFrame,DataFormat,Data
State,North Carolina,2001,"Rate per 1,000",5
State,North Dakota,2001,"Rate per 1,000",8
State,Ohio,2001,"Rate per 1,000",7
State,Oklahoma,2001,"Rate per 1,000",10
State,Oregon,2001,"Rate per 1,000",11
State,Pennsylvania,2001,"Rate per 1,000",7
State,Rhode Island,2001,"Rate per 1,000",10
State,South Carolina,2001,"Rate per 1,000",5
State,South Dakota,2001,"Rate per 1,000",7
State,Tennessee,2001,"Rate per 1,000",7
State,Utah,2001,"Rate per 1,000",3
State,Texas,2001,"Rate per 1,000",3
State,Vermont,2001,"Rate per 1,000",9
State,Virginia,2001,"Rate per 1,000",4
State,Washington,2001,"Rate per 1,000",6
State,West Virginia,2001,"Rate per 1,000",8
State,Wisconsin,2001,"Rate per 1,000",7
State,Wyoming,2001,"Rate per 1,000",8
State,Wyoming,2001,Number,962
State,Wisconsin,2001,Number,9483
State,West Virginia,2001,Number,3275
State,Washington,2001,Number,9087
State,Virginia,2001,Number,6860
State,Vermont,2001,Number,1382
State,Utah,2001,Number,1956
State,Texas,2001,Number,19734
State,Tennessee,2001,Number,9658
State,South Dakota,2001,Number,1366
State,South Carolina,2001,Number,4772
State,Rhode Island,2001,Number,2404
State,Pennsylvania,2001,Number,21212
State,Oregon,2001,Number,8962
State,Oklahoma,2001,Number,8658
State,Ohio,2001,Number,21532
State,North Dakota,2001,Number,1167
State,North Carolina,2001,Number,10105
State,New York,2001,Number,43330
State,New Mexico,2001,Number,1757
State,New Jersey,2001,Number,10644
State,New Hampshire,2001,Number,1288
State,Nevada,2001,Number,2940
State,Nebraska,2001,Number,6238
State,Montana,2001,Number,2007
State,Missouri,2001,Number,13380
State,Mississippi,2001,Number,3425
State,Minnesota,2001,Number,8130
State,Michigan,2001,Number,20767
State,Massachusetts,2001,Number,11518
State,Maryland,2001,Number,12542
State,Maine,2001,Number,3224
State,Louisiana,2001,Number,5024
State,Kentucky,2001,Number,6142
State,Kansas,2001,Number,6390
State,Iowa,2001,Number,5200
State,Indiana,2001,Number,8367
State,Illinois,2001,Number,28159
State,Idaho,2001,Number,1114
State,Hawaii,2001,Number,2583
State,Georgia,2001,Number,13157
State,Florida,2001,Number,32421
City,District of Columbia,2001,Number,3324
State,Delaware,2001,Number,1018
State,Connecticut,2001,Number,7431
State,Colorado,2001,Number,7056
State,California,2001,Number,107042
State,Arkansas,2001,Number,2959
State,Arizona,2001,Number,6049
State,Alaska,2001,Number,1992
State,Alabama,2001,Number,5845
Nation,United States,2001,Number,535038
Nation,United States,2002,Number,523502
State,Alabama,2002,Number,5871
State,Alaska,2002,Number,2071
State,Arizona,2002,Number,6168
State,Arkansas,2002,Number,2971
State,California,2002,Number,100318
State,Colorado,2002,Number,9041
State,Connecticut,2002,Number,6000
State,Delaware,2002,Number,883
City,District of Columbia,2002,Number,3306
State,Florida,2002,Number,31925
State,Georgia,2002,Number,13132
State,Hawaii,2002,Number,2761
State,Idaho,2002,Number,1246
State,Illinois,2002,Number,24299
State,Indiana,2002,Number,8475
State,Iowa,2002,Number,5235
State,Kansas,2002,Number,6177
State,Kentucky,2002,Number,6795
State,Louisiana,2002,Number,4829
State,Maine,2002,Number,3079
State,Maryland,2002,Number,12010
State,Massachusetts,2002,Number,12471
State,Michigan,2002,Number,21210
State,Minnesota,2002,Number,8013
State,Mississippi,2002,Number,2684
State,Missouri,2002,Number,13015
State,Montana,2002,Number,1912
State,Nebraska,2002,Number,5704
State,Nevada,2002,Number,3267
State,New Hampshire,2002,Number,1290
State,New Jersey,2002,Number,11413
State,New Mexico,2002,Number,1884
State,New York,2002,Number,40695
State,North Carolina,2002,Number,9506
State,North Dakota,2002,Number,1197
State,Ohio,2002,Number,20984
State,Oklahoma,2002,Number,8807
State,Oregon,2002,Number,9099
State,Pennsylvania,2002,Number,21323
State,Rhode Island,2002,Number,2370
State,South Carolina,2002,Number,4806
State,South Dakota,2002,Number,1394
State,Tennessee,2002,Number,9343
State,Texas,2002,Number,21352
State,Utah,2002,Number,2023
State,Vermont,2002,Number,1526
State,Virginia,2002,Number,7105
State,Washington,2002,Number,9661
State,West Virginia,2002,Number,3192
State,Wisconsin,2002,Number,8736
State,Wyoming,2002,Number,928
State,Wyoming,2002,"Rate per 1,000",7
State,Wisconsin,2002,"Rate per 1,000",6
State,West Virginia,2002,"Rate per 1,000",8
State,Washington,2002,"Rate per 1,000",6
State,Virginia,2002,"Rate per 1,000",4
State,Vermont,2002,"Rate per 1,000",11
State,Texas,2002,"Rate per 1,000",4
State,Utah,2002,"Rate per 1,000",3
State,Tennessee,2002,"Rate per 1,000",7
State,South Dakota,2002,"Rate per 1,000",7
State,South Carolina,2002,"Rate per 1,000",5
State,Rhode Island,2002,"Rate per 1,000",10
State,Pennsylvania,2002,"Rate per 1,000",7
State,Oregon,2002,"Rate per 1,000",11
State,Oklahoma,2002,"Rate per 1,000",10
State,Ohio,2002,"Rate per 1,000",7
State,North Dakota,2002,"Rate per 1,000",8
State,North Carolina,2002,"Rate per 1,000",5
State,New York,2002,"Rate per 1,000",9
State,New Mexico,2002,"Rate per 1,000",4
State,New Jersey,2002,"Rate per 1,000",5
State,New Hampshire,2002,"Rate per 1,000",4
